year,state,county,FIPS,candidate,party,candidatevotes,totalvotes,relative_votes
2012,Alabama,Autauga,1001,Barack Obama,democrat,6363.0,23932,26.800606520090977
2012,Alabama,Autauga,1001,Mitt Romney,republican,17379.0,23932,73.19939347990902
2012,Alabama,Baldwin,1003,Barack Obama,democrat,18424.0,85338,21.81904310753197
2012,Alabama,Baldwin,1003,Mitt Romney,republican,66016.0,85338,78.18095689246802
2012,Alabama,Barbour,1005,Barack Obama,democrat,5912.0,11509,51.57913104170302
2012,Alabama,Barbour,1005,Mitt Romney,republican,5550.0,11509,48.42086895829698
2012,Alabama,Bibb,1007,Barack Obama,democrat,2202.0,8420,26.421886249100076
2012,Alabama,Bibb,1007,Mitt Romney,republican,6132.0,8420,73.57811375089993
2012,Alabama,Blount,1009,Barack Obama,democrat,2970.0,24006,12.517385257301807
2012,Alabama,Blount,1009,Mitt Romney,republican,20757.0,24006,87.48261474269819
2012,Alabama,Bullock,1011,Barack Obama,democrat,4061.0,5322,76.44954819277109
2012,Alabama,Bullock,1011,Mitt Romney,republican,1251.0,5322,23.550451807228924
2012,Alabama,Butler,1013,Barack Obama,democrat,4374.0,9496,46.23189937638728
2012,Alabama,Butler,1013,Mitt Romney,republican,5087.0,9496,53.768100623612725
2012,Alabama,Calhoun,1015,Barack Obama,democrat,15511.0,46257,33.874948131647336
2012,Alabama,Calhoun,1015,Mitt Romney,republican,30278.0,46257,66.12505186835266
2012,Alabama,Chambers,1017,Barack Obama,democrat,6871.0,14611,47.396012968200324
2012,Alabama,Chambers,1017,Mitt Romney,republican,7626.0,14611,52.603987031799676
2012,Alabama,Cherokee,1019,Barack Obama,democrat,2132.0,9779,22.120771944386806
2012,Alabama,Cherokee,1019,Mitt Romney,republican,7506.0,9779,77.8792280556132
2012,Alabama,Chilton,1021,Barack Obama,democrat,3397.0,17462,19.6029776674938
2012,Alabama,Chilton,1021,Mitt Romney,republican,13932.0,17462,80.3970223325062
2012,Alabama,Choctaw,1023,Barack Obama,democrat,3786.0,7968,47.69463340891912
